UFCD 10790 – Projeto de Programação | Template de Cronograma (25h = 5 sessões × 5h);;;;;;;;;;;;;;;;;;;;;;;;;;;
Instrução: Preencha o nome da tarefa e o responsável. Para marcar as horas de cada tarefa, pinte as células H1-H25 com a cor da fase (use Preenchimento de Célula). Pode adicionar ou remover linhas conforme necessário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fase;Tarefa;Responsável;S1 – Requisitos;;;;;S2 – Arquitetura;;;;;S3 – Desenvolvimento 1;;;;;S4 – Desenvolvimento 2;;;;;S5 – Apresentação;;;;
;;Diogo Amaro;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24;H25
"Fase 1
Requisitos";Levantamento de requisitos;;1;;1;;;;;;;;;;;;;;;;;;;;;;
;Definição do scope;;;1;1;;;;;;;;;;;;;;;;;;;;;;
;Identificação das funcionalidades obrigatórias e opcionais;;;;1;1;1;;;;;;;;;;;;;;;;;;;;
"Fase 2
Arquitetura";Diagrama de arquitetura;;;;;;;1;;;;;;;;;;;;;;;;;;;
;Definição dos módulos;;;;;;;;1;;;;;;;;;;;;;;;;;;
;Estrutura de dados, formato de armazenamento e fluxo do programa;;;;;;;;;1;1;1;;;;;;;;;;;;;;;
"Fase 3
Desenvolvimento";Implementação do Menu principal;;;;;;;;;;;;1;;;;;;;;;;;;;;
;Adição de funções;;;;;;;;;;;;;2;2;1;;;;;;;;;;;
;Validações básicas;;;;;;;;;;;;;;;1;;;;;;;;;;;
;Melhorias e prevenção de erros;;;;;;;;;;;;;;1;1;1;;;;;;;;;;
"Fase 4
Testes";Testes unitários;;;;;;;;;;;;;;;;;1;1;1;1;1;;;;;
;Testes de integração;;;;;;;;;;;;;;;;;;1;;;1;;;;;
;Correção de erros;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;
"Fase 5
Apresentação";Preparação da apresentação;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;
;Apresentação do projeto;;;;;;;;;;;;;;;;;;;;;;;;1;;
;Entrega do relatório;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Total de Tarefas;;;1;1;0;1;1;1;1;1;1;1;1;1;2;3;1;1;3;2;2;3;1;1;2;2;1
